batteryMilliWatts,batteryMilliAmps,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,kalman_soc,SoC_LibreSolar
-0.08352,-0.663,1,12.578,5.0,10.0,9.9
-0.08284,-0.658,1,12.579,5.0,10.0,9.9
-0.08275,-0.658,1,12.574,5.0,10.0,9.9
-0.07323,-0.581,1,12.587,5.0,10.0,9.9
-0.07248,-0.575,1,12.585,5.0,10.0,9.9
-0.07335,-0.583,1,12.579,5.0,10.0,9.9
-0.08232,-0.655,1,12.561,5.0,10.0,9.9
-0.08307,-0.661,1,12.549,5.0,10.0,9.9
-0.07855,-0.625,1,12.556,5.0,10.0,9.9
-0.08781,-0.7,1,12.538,5.0,9.998,9.9
-0.09093,-0.725,1,12.527,5.0,9.9929,9.9
-0.08752,-0.698,1,12.525,5.0,9.9925,9.9
-0.08718,-0.696,1,12.516,5.0,9.9912,9.9
-0.08746,-0.699,1,12.511,5.0,9.9891,9.9
-0.08692,-0.694,1,12.507,5.0,9.9864,9.9
-0.08688,-0.695,1,12.501,5.0,9.9831,9.9
-0.08648,-0.691,1,12.498,5.0,9.9793,9.9
-0.08679,-0.694,1,12.494,5.0,9.9753,9.9
-0.08731,-0.699,1,12.488,5.0,9.9711,9.9
-0.08633,-0.691,1,12.484,5.0,9.9664,9.9
-0.08567,-0.686,1,12.476,5.0,9.9611,9.9
-0.09451,-0.758,1,12.458,5.0,9.9558,9.9
-0.09923,-0.797,1,12.444,5.0,9.949,9.9
-0.10016,-0.805,1,12.436,5.0,9.9432,9.9
-0.05959,-0.476,1,12.507,5.0,9.8652,9.9
-0.05946,-0.475,1,12.503,5.0,9.8812,9.9
-0.05913,-0.473,1,12.5,5.0,9.8898,9.9
-0.05917,-0.473,1,12.494,5.0,9.8936,9.9
-0.06291,-0.503,1,12.492,5.0,9.8955,9.9
-0.05947,-0.476,1,12.485,5.0,9.8935,9.9
-0.05892,-0.472,1,12.483,5.0,9.8898,9.9
-0.05868,-0.47,1,12.478,5.0,9.8851,9.9
-0.05909,-0.473,1,12.475,5.0,9.8804,9.9
-0.05943,-0.476,1,12.474,5.0,9.8758,9.9
-0.05924,-0.474,1,12.471,5.0,9.8709,9.9
-0.05768,-0.462,1,12.468,5.0,9.8646,9.9
-0.05858,-0.469,1,12.468,5.0,9.8596,9.9
-0.05832,-0.468,1,12.459,5.0,9.8542,9.9
-0.05775,-0.463,1,12.461,5.0,9.8487,9.9
-0.05745,-0.461,1,12.451,5.0,9.8427,9.9
-0.06866,-0.552,1,12.432,5.0,9.837,9.9
-0.06864,-0.551,1,12.44,5.0,9.8326,9.9
-0.05805,-0.466,1,12.443,5.0,9.8236,9.9
-0.05768,-0.463,1,12.438,5.0,9.8148,9.9
-0.05703,-0.458,1,12.435,5.0,9.8058,9.9
